user_id,recency_days,frequency,monetary_inr,r_score,f_score,m_score,segment,cluster
20611,383,4,31597.0,2,4,4,Loyal,1
20612,507,3,4963.0,2,4,3,Loyal,1
20613,607,1,106.0,2,1,1,Lost,0
20614,92,2,504.0,4,2,2,Potential Loyalist,1
20617,345,3,23417.0,3,4,4,Champions,1
20621,115,2,3546.0,4,2,3,Loyal,1
20622,270,2,2162.0,3,2,3,Potential Loyalist,1
20625,281,3,8922.0,3,4,3,Loyal,1
20626,106,2,347.0,4,2,1,Potential Loyalist,1
20627,569,2,1843.0,2,2,2,At Risk,0
20628,698,1,2870.0,1,1,3,At Risk,0
20630,79,2,3329.0,4,2,3,Loyal,1
20633,72,1,15315.0,4,1,4,Loyal,1
20634,513,1,130.0,2,1,1,Lost,0
20635,495,3,2523.0,2,4,3,Loyal,1
20636,541,3,2537.0,2,4,3,Loyal,1
20637,509,2,3546.0,2,2,3,Potential Loyalist,1
20638,774,1,130.0,1,1,1,Lost,0
20639,271,1,523.0,3,1,2,At Risk,0
20640,761,1,5505.0,1,1,3,At Risk,0
20641,59,3,454.0,4,4,2,Loyal,1
20643,130,1,1185.0,4,1,2,Potential Loyalist,0
20644,852,2,6467.0,1,2,3,At Risk,0
20645,859,1,13153.0,1,1,4,At Risk,0
20646,708,1,352.0,1,1,1,Lost,0
20647,521,1,1903.0,2,1,2,At Risk,0
20650,353,2,1305.0,3,2,2,Potential Loyalist,0
20651,478,3,1412.0,2,4,2,Potential Loyalist,1
20652,155,3,2245.0,4,4,3,Champions,1
20653,684,1,1282.0,1,1,2,Lost,0
20655,298,1,4259.0,3,1,3,Potential Loyalist,0
20656,984,1,2542.0,1,1,3,At Risk,0
20657,466,2,2694.0,2,2,3,Potential Loyalist,0
20658,744,1,1273.0,1,1,2,Lost,0
20660,268,2,1351.0,3,2,2,Potential Loyalist,1
20662,374,1,1009.0,3,1,2,At Risk,0
20663,929,1,708.0,1,1,2,Lost,0
20665,488,1,88.0,2,1,1,Lost,0
20667,52,3,5292.0,4,4,3,Champions,1
20668,277,1,190.0,3,1,1,At Risk,0
20670,228,2,546.0,3,2,2,Potential Loyalist,0
20671,379,4,2844.0,3,4,3,Loyal,1
20673,976,1,435.0,1,1,2,Lost,0
20674,93,4,2601.0,4,4,3,Champions,1
20675,72,6,23389.0,4,4,4,Champions,1
20676,984,1,7782.0,1,1,3,At Risk,0
20677,164,2,2477.0,4,2,3,Loyal,1
20678,354,2,671.0,3,2,2,Potential Loyalist,0
20680,843,1,3824.0,1,1,3,At Risk,0
20681,499,2,22945.0,2,2,4,Potential Loyalist,1
20682,95,1,10074.0,4,1,4,Loyal,1
20683,613,2,931.0,2,2,2,At Risk,0
20684,194,2,463.0,3,2,2,Potential Loyalist,0
20685,368,2,27685.0,3,2,4,Loyal,1
20686,192,3,11185.0,3,4,4,Champions,1
20687,725,1,162292.0,1,1,4,At Risk,1
20689,344,1,407.0,3,1,1,At Risk,0
20690,512,2,370.0,2,2,1,At Risk,0
20691,99,2,347.0,4,2,1,Potential Loyalist,1
20693,193,3,5717.0,3,4,3,Loyal,1
20694,186,2,6611.0,3,2,3,Potential Loyalist,1
20696,508,4,17464.0,2,4,4,Loyal,1
20697,198,3,2838.0,3,4,3,Loyal,1
20700,758,1,162.0,1,1,1,Lost,0
20701,233,1,79.0,3,1,1,At Risk,0
20703,751,2,231.0,1,2,1,Lost,0
20705,962,1,356.0,1,1,1,Lost,0
20706,250,2,870.0,3,2,2,Potential Loyalist,0
20707,249,1,190.0,3,1,1,At Risk,0
20709,214,3,663.0,3,4,2,Loyal,1
20710,187,4,11421.0,3,4,4,Champions,1
20711,494,1,18361.0,2,1,4,Potential Loyalist,0
20712,268,6,3992.0,3,4,3,Loyal,1
20714,606,1,222.0,2,1,1,Lost,0
20719,200,2,2157.0,3,2,3,Potential Loyalist,1
20720,193,2,28917.0,3,2,4,Loyal,1
20721,519,1,815.0,2,1,2,At Risk,0
20722,586,2,11042.0,2,2,4,Potential Loyalist,1
20723,918,1,185.0,1,1,1,Lost,0
20724,773,2,588.0,1,2,2,At Risk,0
20725,204,2,48315.0,3,2,4,Loyal,1
20728,351,2,7181.0,3,2,3,Potential Loyalist,1
20729,523,1,11880.0,2,1,4,Potential Loyalist,0
20730,428,3,8816.0,2,4,3,Loyal,1
20731,222,1,463.0,3,1,2,At Risk,0
20732,514,2,8000.0,2,2,3,Potential Loyalist,1
20735,465,3,44162.0,2,4,4,Loyal,1
20736,662,2,11379.0,1,2,4,Potential Loyalist,1
20738,122,3,7385.0,4,4,3,Champions,1
20739,219,3,7945.0,3,4,3,Loyal,1
20741,948,1,824.0,1,1,2,Lost,0
20742,116,3,21380.0,4,4,4,Champions,1
20743,163,2,13551.0,4,2,4,Loyal,1
20744,611,2,2292.0,2,2,3,Potential Loyalist,0
20745,290,1,1435.0,3,1,2,At Risk,0
20746,15,1,315.0,4,1,1,At Risk,1
20747,907,2,1301.0,1,2,2,At Risk,0
20748,502,2,17351.0,2,2,4,Potential Loyalist,1
20749,206,2,467.0,3,2,2,Potential Loyalist,0
20750,444,2,6505.0,2,2,3,Potential Loyalist,1
20751,730,1,21000.0,1,1,4,At Risk,0
20752,450,1,32.0,2,1,1,Lost,0
20753,291,1,8231.0,3,1,3,Potential Loyalist,0
20755,873,1,6019.0,1,1,3,At Risk,0
20756,610,3,23398.0,2,4,4,Loyal,1
20757,687,1,389.0,1,1,1,Lost,0
20758,212,2,365.0,3,2,1,At Risk,0
20759,393,1,972.0,2,1,2,At Risk,0
20760,403,1,620.0,2,1,2,At Risk,0
20761,530,1,806.0,2,1,2,At Risk,0
20762,211,2,8393.0,3,2,3,Potential Loyalist,1
20763,347,1,26074.0,3,1,4,Potential Loyalist,0
20764,373,1,29801.0,3,1,4,Potential Loyalist,0
20765,162,1,1269.0,4,1,2,Potential Loyalist,0
20767,598,1,48125.0,2,1,4,Potential Loyalist,0
20769,669,2,723.0,1,2,2,At Risk,0
20770,141,1,181.0,4,1,1,At Risk,0
20771,730,1,1032.0,1,1,2,Lost,0
20772,310,4,727.0,3,4,2,Loyal,1
20773,751,2,3389.0,1,2,3,At Risk,0
20774,815,2,2019.0,1,2,3,At Risk,0
20775,393,2,347.0,2,2,1,At Risk,0
20777,16,1,1782.0,4,1,2,Potential Loyalist,1
20778,8,2,130.0,4,2,1,Potential Loyalist,1
20780,714,1,653.0,1,1,2,Lost,0
20781,540,1,583.0,2,1,2,At Risk,0
20782,184,3,8093.0,3,4,3,Loyal,1
20783,449,1,1907.0,2,1,2,At Risk,0
20784,647,1,111.0,1,1,1,Lost,0
20785,463,2,1490.0,2,2,2,At Risk,0
20787,234,2,629.0,3,2,2,Potential Loyalist,0
20788,747,1,36014.0,1,1,4,At Risk,0
20789,940,1,278.0,1,1,1,Lost,0
20791,562,2,2074.0,2,2,3,Potential Loyalist,0
20793,729,2,37064.0,1,2,4,Potential Loyalist,1
20794,984,1,102.0,1,1,1,Lost,0
20795,597,2,60315.0,2,2,4,Potential Loyalist,1
20796,498,2,36945.0,2,2,4,Potential Loyalist,1
20797,127,2,2338.0,4,2,3,Loyal,1
20798,333,2,26037.0,3,2,4,Loyal,1
20799,312,1,79.0,3,1,1,At Risk,0
20800,401,1,148.0,2,1,1,Lost,0
20801,704,1,306.0,1,1,1,Lost,0
20802,51,1,25741.0,4,1,4,Loyal,1
20803,971,1,3273.0,1,1,3,At Risk,0
20804,318,4,53959.0,3,4,4,Champions,1
20805,906,1,324.0,1,1,1,Lost,0
20806,773,1,88.0,1,1,1,Lost,0
20807,828,1,583.0,1,1,2,Lost,0
20808,883,1,56.0,1,1,1,Lost,0
20810,52,3,8060.0,4,4,3,Champions,1
20813,701,1,241.0,1,1,1,Lost,0
20814,758,2,565.0,1,2,2,At Risk,0
20815,435,2,259.0,2,2,1,At Risk,0
20817,613,1,7597.0,2,1,3,At Risk,0
20818,617,1,1301.0,2,1,2,At Risk,0
20819,176,2,12578.0,4,2,4,Loyal,1
20820,155,2,1801.0,4,2,2,Potential Loyalist,1
20821,312,2,40199.0,3,2,4,Loyal,1
20822,59,3,718.0,4,4,2,Loyal,1
20823,159,1,46.0,4,1,1,At Risk,0
20824,766,1,1903.0,1,1,2,Lost,0
20826,836,1,32.0,1,1,1,Lost,0
20827,555,2,9472.0,2,2,4,Potential Loyalist,1
20828,750,1,13255.0,1,1,4,At Risk,0
20829,85,3,45042.0,4,4,4,Champions,1
20830,44,1,116.0,4,1,1,At Risk,0
20831,501,2,5356.0,2,2,3,Potential Loyalist,1
20832,575,1,269.0,2,1,1,Lost,0
20834,458,1,2292.0,2,1,3,At Risk,0
20835,162,4,19912.0,4,4,4,Champions,1
20836,61,1,111.0,4,1,1,At Risk,0
20838,204,3,76449.0,3,4,4,Champions,1
20842,667,1,83.0,1,1,1,Lost,0
20843,527,1,7176.0,2,1,3,At Risk,0
20846,254,1,51.0,3,1,1,At Risk,0
20847,897,1,6245.0,1,1,3,At Risk,0
20848,500,2,1079.0,2,2,2,At Risk,0
20850,96,2,1393.0,4,2,2,Potential Loyalist,1
20851,381,2,84000.0,3,2,4,Loyal,1
20853,443,3,481.0,2,4,2,Potential Loyalist,1
20856,116,2,195.0,4,2,1,Potential Loyalist,0
20857,218,3,18134.0,3,4,4,Champions,1
20858,988,1,0.0,1,1,1,Lost,0
20859,696,1,366.0,1,1,1,Lost,0
20860,807,1,194.0,1,1,1,Lost,0
20867,759,2,815.0,1,2,2,At Risk,0
20869,793,2,783.0,1,2,2,At Risk,0
20871,268,2,2560.0,3,2,3,Potential Loyalist,1
20872,483,1,69.0,2,1,1,Lost,0
20873,747,1,65.0,1,1,1,Lost,0
20874,904,1,97.0,1,1,1,Lost,0
20875,852,1,833.0,1,1,2,Lost,0
20876,834,1,144.0,1,1,1,Lost,0
20877,248,3,73190.0,3,4,4,Champions,1
20878,668,1,287.0,1,1,1,Lost,0
20879,96,1,176255.0,4,1,4,Loyal,1
20882,260,4,8870.0,3,4,3,Loyal,1
20883,381,1,56.0,3,1,1,At Risk,0
20884,276,1,32366.0,3,1,4,Potential Loyalist,1
20885,526,2,1755.0,2,2,2,At Risk,0
20886,962,1,3505.0,1,1,3,At Risk,0
20887,911,1,218.0,1,1,1,Lost,0
20888,472,2,266616.0,2,2,4,Potential Loyalist,1
20890,703,1,102.0,1,1,1,Lost,0
20892,284,1,287.0,3,1,1,At Risk,0
20893,80,1,4292.0,4,1,3,Potential Loyalist,1
20894,191,2,898.0,3,2,2,Potential Loyalist,1
20895,662,2,11417.0,1,2,4,Potential Loyalist,1
20897,981,2,2685.0,1,2,3,At Risk,0
20898,11,1,125.0,4,1,1,At Risk,0
20899,323,3,1171.0,3,4,2,Loyal,1
20901,37,1,74.0,4,1,1,At Risk,0
20904,33,2,231.0,4,2,1,Potential Loyalist,1
20905,402,2,2236.0,2,2,3,Potential Loyalist,0
20906,579,4,43421.0,2,4,4,Loyal,1
20907,864,1,361.0,1,1,1,Lost,0
20908,492,2,2065.0,2,2,3,Potential Loyalist,0
20909,743,1,82051.0,1,1,4,At Risk,0
20910,635,3,4893.0,1,4,3,Potential Loyalist,1
20912,555,1,306.0,2,1,1,Lost,0
20913,351,5,18999.0,3,4,4,Champions,1
20914,157,4,11963.0,4,4,4,Champions,1
20915,919,1,593.0,1,1,2,Lost,0
20916,228,2,92005.0,3,2,4,Loyal,1
20917,457,1,3130.0,2,1,3,At Risk,0
20919,284,1,2926.0,3,1,3,Potential Loyalist,0
20920,684,1,208.0,1,1,1,Lost,0
20921,344,2,12847.0,3,2,4,Loyal,1
20923,149,2,11236.0,4,2,4,Loyal,1
20927,311,3,34579.0,3,4,4,Champions,1
20928,527,2,1250.0,2,2,2,At Risk,0
20930,855,1,106.0,1,1,1,Lost,0
20931,739,4,40343.0,1,4,4,Loyal,1
20932,355,2,1977.0,3,2,3,Potential Loyalist,1
20933,716,1,97.0,1,1,1,Lost,0
20934,80,1,954.0,4,1,2,Potential Loyalist,0
20936,502,1,153.0,2,1,1,Lost,0
20937,163,2,4070.0,4,2,3,Loyal,1
20938,316,2,3065.0,3,2,3,Potential Loyalist,1
20939,723,1,39269.0,1,1,4,At Risk,0
20940,800,1,491.0,1,1,2,Lost,0
20941,380,1,444.0,3,1,2,At Risk,0
20942,326,3,347.0,3,4,1,Potential Loyalist,1
20943,458,2,829.0,2,2,2,At Risk,0
20945,58,2,1370.0,4,2,2,Potential Loyalist,1
20947,432,1,2505.0,2,1,3,At Risk,0
20948,226,2,24399.0,3,2,4,Loyal,1
20949,73,2,638.0,4,2,2,Potential Loyalist,1
20950,730,3,41431.0,1,4,4,Loyal,1
20951,708,1,199.0,1,1,1,Lost,0
20952,891,2,384.0,1,2,1,Lost,0
20953,669,2,1638.0,1,2,2,At Risk,0
20955,703,2,334.0,1,2,1,Lost,0
20957,424,1,46.0,2,1,1,Lost,0
20959,494,1,93.0,2,1,1,Lost,0
20962,698,1,454.0,1,1,2,Lost,0
20963,634,2,19200.0,1,2,4,Potential Loyalist,1
20964,96,2,4505.0,4,2,3,Loyal,1
20965,610,2,21986.0,2,2,4,Potential Loyalist,1
20967,200,3,718.0,3,4,2,Loyal,1
20971,620,3,9389.0,2,4,4,Loyal,1
20972,75,3,2514.0,4,4,3,Champions,1
20973,211,1,852.0,3,1,2,At Risk,0
20974,95,2,454.0,4,2,2,Potential Loyalist,1
20975,17,3,1069.0,4,4,2,Loyal,1
20976,74,1,3153.0,4,1,3,Potential Loyalist,0
20977,277,1,1491.0,3,1,2,At Risk,0
20978,106,3,385.0,4,4,1,Loyal,1
20979,390,2,431.0,2,2,2,At Risk,0
20980,599,2,10861.0,2,2,4,Potential Loyalist,1
20982,967,1,1935.0,1,1,2,Lost,0
20983,276,3,420.0,3,4,1,Potential Loyalist,1
20984,800,2,116.0,1,2,1,Lost,0
20985,796,1,8324.0,1,1,3,At Risk,0
20986,211,2,152.0,3,2,1,At Risk,0
20988,150,3,754.0,4,4,2,Loyal,1
20989,68,3,8397.0,4,4,3,Champions,1
20990,192,2,629.0,3,2,2,Potential Loyalist,0
20991,879,1,5565.0,1,1,3,At Risk,0
20992,80,3,1380.0,4,4,2,Loyal,1
20993,605,1,227.0,2,1,1,Lost,0
20994,155,1,22903.0,4,1,4,Loyal,1
20995,729,1,79.0,1,1,1,Lost,0
20996,52,1,2176.0,4,1,3,Potential Loyalist,1
20998,85,2,574.0,4,2,2,Potential Loyalist,1
20999,171,1,6171.0,4,1,3,Potential Loyalist,0
21000,60,2,7370.0,4,2,3,Loyal,1
21001,187,3,3847.0,3,4,3,Loyal,1
21004,479,1,731.0,2,1,2,At Risk,0
21005,648,2,3356.0,1,2,3,At Risk,0
21006,530,2,4463.0,2,2,3,Potential Loyalist,1
21007,249,4,20403.0,3,4,4,Champions,1
21008,218,1,130.0,3,1,1,At Risk,0
21009,630,1,1662.0,2,1,2,At Risk,0
21010,23,3,46890.0,4,4,4,Champions,1
21011,430,5,41397.0,2,4,4,Loyal,1
21012,78,4,389.0,4,4,1,Loyal,1
21013,313,3,7232.0,3,4,3,Loyal,1
21014,114,2,8791.0,4,2,3,Loyal,1
21015,661,1,213.0,1,1,1,Lost,0
21016,689,2,2556.0,1,2,3,At Risk,0
21017,169,2,152519.0,4,2,4,Loyal,1
21019,742,1,227.0,1,1,1,Lost,0
21020,101,4,17227.0,4,4,4,Champions,1
21021,113,2,23986.0,4,2,4,Loyal,1
21022,44,4,2338.0,4,4,3,Champions,1
21023,936,1,5125.0,1,1,3,At Risk,0
21024,37,1,106.0,4,1,1,At Risk,0
21027,583,1,6245.0,2,1,3,At Risk,0
21028,136,1,6810.0,4,1,3,Potential Loyalist,0
21029,446,3,3570.0,2,4,3,Loyal,1
21031,127,1,157.0,4,1,1,At Risk,0
21032,156,4,38551.0,4,4,4,Champions,1
21033,374,1,5218.0,3,1,3,Potential Loyalist,0
21034,722,2,1903.0,1,2,2,At Risk,0
21037,247,2,903.0,3,2,2,Potential Loyalist,0
21038,793,1,3292.0,1,1,3,At Risk,0
21039,646,2,17037.0,1,2,4,Potential Loyalist,1
21040,599,3,4125.0,2,4,3,Loyal,1
21041,612,1,134.0,2,1,1,Lost,0
21043,402,1,213.0,2,1,1,Lost,0
21046,226,4,109162.0,3,4,4,Champions,1
21047,292,2,14070.0,3,2,4,Loyal,1
21048,464,1,213.0,2,1,1,Lost,0
21049,535,2,5630.0,2,2,3,Potential Loyalist,1
21050,743,1,111.0,1,1,1,Lost,0
21051,288,1,153.0,3,1,1,At Risk,0
21052,176,1,468.0,4,1,2,Potential Loyalist,0
21053,575,4,2176.0,2,4,3,Loyal,1
21054,562,1,370.0,2,1,1,Lost,0
21055,61,1,1597.0,4,1,2,Potential Loyalist,0
21056,338,3,797.0,3,4,2,Loyal,1
21057,737,1,15968.0,1,1,4,At Risk,0
21058,652,1,7213.0,1,1,3,At Risk,0
21059,509,3,3320.0,2,4,3,Loyal,1
21060,540,2,6764.0,2,2,3,Potential Loyalist,1
21061,74,2,6236.0,4,2,3,Loyal,1
21062,222,2,2176.0,3,2,3,Potential Loyalist,1
21064,428,1,8116.0,2,1,3,At Risk,0
21065,509,1,171.0,2,1,1,Lost,0
21066,407,2,19541.0,2,2,4,Potential Loyalist,1
21067,144,1,102.0,4,1,1,At Risk,0
21068,716,1,93.0,1,1,1,Lost,0
21070,568,1,102.0,2,1,1,Lost,0
21071,144,1,296.0,4,1,1,At Risk,0
21072,22,1,56.0,4,1,1,At Risk,0
21073,729,1,1398.0,1,1,2,Lost,0
21074,437,1,157.0,2,1,1,Lost,0
21075,505,1,167.0,2,1,1,Lost,0
21076,52,2,2333.0,4,2,3,Loyal,1
21077,332,1,88.0,3,1,1,At Risk,0
21078,270,1,6657.0,3,1,3,Potential Loyalist,0
21079,155,1,157435.0,4,1,4,Loyal,1
21080,53,5,10038.0,4,4,4,Champions,1
21081,918,1,7630.0,1,1,3,At Risk,0
21083,535,4,30241.0,2,4,4,Loyal,1
21084,340,2,486.0,3,2,2,Potential Loyalist,0
21085,67,2,38630.0,4,2,4,Loyal,1
21087,131,4,61811.0,4,4,4,Champions,1
21088,460,3,4875.0,2,4,3,Loyal,1
21089,120,1,1454.0,4,1,2,Potential Loyalist,0
21091,25,3,9542.0,4,4,4,Champions,1
21092,499,2,246.0,2,2,1,At Risk,0
21095,837,2,232.0,1,2,1,Lost,0
21096,29,1,5199.0,4,1,3,Potential Loyalist,1
21097,235,2,4662.0,3,2,3,Potential Loyalist,1
21098,215,3,5935.0,3,4,3,Loyal,1
21099,822,1,13537.0,1,1,4,At Risk,0
21100,668,1,53884.0,1,1,4,At Risk,0
21102,800,1,755.0,1,1,2,Lost,0
21103,379,1,190.0,3,1,1,At Risk,0
21105,360,2,648.0,3,2,2,Potential Loyalist,0
21106,639,1,69.0,1,1,1,Lost,0
21107,325,1,278.0,3,1,1,At Risk,0
21108,277,3,1662.0,3,4,2,Loyal,1
21110,471,3,17996.0,2,4,4,Loyal,1
21111,460,3,477.0,2,4,2,Potential Loyalist,1
21112,568,3,3037.0,2,4,3,Loyal,1
21114,669,3,5509.0,1,4,3,Potential Loyalist,1
21115,569,1,968.0,2,1,2,At Risk,0
21116,262,2,20153.0,3,2,4,Loyal,1
21118,365,3,6954.0,3,4,3,Loyal,1
21119,341,2,1000.0,3,2,2,Potential Loyalist,0
21120,59,4,33939.0,4,4,4,Champions,1
21121,481,2,1204.0,2,2,2,At Risk,0
21122,316,3,50842.0,3,4,4,Champions,1
21123,890,1,1778.0,1,1,2,Lost,0
21124,8,1,60.0,4,1,1,At Risk,0
21126,85,3,1903.0,4,4,2,Loyal,1
21127,653,1,88.0,1,1,1,Lost,0
21128,51,1,269.0,4,1,1,At Risk,0
21129,355,1,4810.0,3,1,3,Potential Loyalist,0
21130,596,1,315.0,2,1,1,Lost,0
21131,170,2,4245.0,4,2,3,Loyal,1
21132,257,2,2365.0,3,2,3,Potential Loyalist,1
21133,47,2,1986.0,4,2,3,Loyal,1
21134,985,1,37.0,1,1,1,Lost,0
21135,340,2,310.0,3,2,1,At Risk,0
21136,347,1,495.0,3,1,2,At Risk,0
21139,582,1,333.0,2,1,1,Lost,0
21141,379,3,1764.0,3,4,2,Loyal,1
21142,766,2,194.0,1,2,1,Lost,0
21144,619,1,1130.0,2,1,2,At Risk,0
21145,668,1,245.0,1,1,1,Lost,0
21146,745,2,287.0,1,2,1,Lost,0
21147,597,3,5278.0,2,4,3,Loyal,1
21148,431,3,6616.0,2,4,3,Loyal,1
21150,192,1,319.0,3,1,1,At Risk,0
21151,50,2,269551.0,4,2,4,Loyal,1
21152,726,1,6523.0,1,1,3,At Risk,0
21153,47,2,718.0,4,2,2,Potential Loyalist,1
21154,86,1,24352.0,4,1,4,Loyal,1
21155,697,1,625.0,1,1,2,Lost,0
21156,758,1,1750.0,1,1,2,Lost,0
21157,808,2,255.0,1,2,1,Lost,0
21159,703,2,6708.0,1,2,3,At Risk,1
21160,38,2,3509.0,4,2,3,Loyal,1
21161,260,4,8338.0,3,4,3,Loyal,1
21162,205,3,11181.0,3,4,4,Champions,1
21166,456,1,13481.0,2,1,4,Potential Loyalist,0
21167,940,1,699.0,1,1,2,Lost,0
21168,302,3,12389.0,3,4,4,Champions,1
21169,33,2,180810.0,4,2,4,Loyal,1
21171,171,2,31745.0,4,2,4,Loyal,1
21172,379,2,3940.0,3,2,3,Potential Loyalist,1
21173,145,3,6690.0,4,4,3,Champions,1
21174,843,1,2130.0,1,1,3,At Risk,0
21175,984,1,1889.0,1,1,2,Lost,0
21176,108,3,6356.0,4,4,3,Champions,1
21177,806,2,611.0,1,2,2,At Risk,0
21180,130,2,61097.0,4,2,4,Loyal,1
21181,892,1,93.0,1,1,1,Lost,0
21182,47,1,102.0,4,1,1,At Risk,0
21184,897,1,100565.0,1,1,4,At Risk,0
21185,389,3,907.0,2,4,2,Potential Loyalist,1
21186,65,1,236.0,4,1,1,At Risk,0
21189,493,3,51824.0,2,4,4,Loyal,1
21190,330,2,14121.0,3,2,4,Loyal,1
21191,368,2,916.0,3,2,2,Potential Loyalist,0
21192,974,1,245.0,1,1,1,Lost,0
21193,313,4,6402.0,3,4,3,Loyal,1
21195,262,3,67740.0,3,4,4,Champions,1
21196,513,1,282.0,2,1,1,Lost,0
21198,115,3,7537.0,4,4,3,Champions,1
21199,15,2,412.0,4,2,1,Potential Loyalist,1
21200,736,1,1338.0,1,1,2,Lost,0
21202,522,1,213.0,2,1,1,Lost,0
21203,303,1,2671.0,3,1,3,Potential Loyalist,0
21204,627,3,24255.0,2,4,4,Loyal,1
21207,614,3,208.0,2,4,1,Potential Loyalist,0
21208,414,2,8686.0,2,2,3,Potential Loyalist,1
21209,873,1,3042.0,1,1,3,At Risk,0
21210,228,1,1407.0,3,1,2,At Risk,0
21211,61,3,6153.0,4,4,3,Champions,1
21212,283,3,1213.0,3,4,2,Loyal,1
21213,241,3,5972.0,3,4,3,Loyal,1
21215,270,3,32079.0,3,4,4,Champions,1
21217,648,1,106.0,1,1,1,Lost,0
21220,12,3,17574.0,4,4,4,Champions,1
21221,186,3,58588.0,3,4,4,Champions,1
21222,439,2,347.0,2,2,1,At Risk,0
21223,85,2,10227.0,4,2,4,Loyal,1
21224,144,2,935.0,4,2,2,Potential Loyalist,1
21226,477,2,3889.0,2,2,3,Potential Loyalist,1
21227,635,3,4042.0,1,4,3,Potential Loyalist,1
21228,340,2,3774.0,3,2,3,Potential Loyalist,1
21231,878,1,361.0,1,1,1,Lost,0
21232,79,1,130.0,4,1,1,At Risk,0
21233,220,2,36787.0,3,2,4,Loyal,1
21235,232,2,1226.0,3,2,2,Potential Loyalist,1
21236,348,3,20311.0,3,4,4,Champions,1
21237,691,1,83.0,1,1,1,Lost,0
21238,54,3,37843.0,4,4,4,Champions,1
21239,225,3,1338.0,3,4,2,Loyal,1
21241,530,2,10190.0,2,2,4,Potential Loyalist,1
21242,914,2,1088.0,1,2,2,At Risk,0
21243,145,3,9338.0,4,4,4,Champions,1
21244,676,2,1796.0,1,2,2,At Risk,0
21246,563,1,3806.0,2,1,3,At Risk,0
21247,396,2,1259.0,2,2,2,At Risk,0
21248,376,1,306.0,3,1,1,At Risk,0
21249,907,1,93.0,1,1,1,Lost,0
21250,841,2,439.0,1,2,2,At Risk,0
21251,641,3,1061.0,1,4,2,Potential Loyalist,1
21252,88,4,198449.0,4,4,4,Champions,1
21253,513,2,8213.0,2,2,3,Potential Loyalist,1
21255,58,3,31667.0,4,4,4,Champions,1
21257,498,2,282.0,2,2,1,At Risk,0
21258,943,1,690.0,1,1,2,Lost,0
21261,24,1,3139.0,4,1,3,Potential Loyalist,1
21264,929,1,148.0,1,1,1,Lost,0
21265,537,1,181.0,2,1,1,Lost,0
21266,792,2,12584.0,1,2,4,Potential Loyalist,1
21267,719,2,31213.0,1,2,4,Potential Loyalist,1
21268,355,2,760.0,3,2,2,Potential Loyalist,0
21269,344,2,523.0,3,2,2,Potential Loyalist,0
21270,192,5,23240.0,3,4,4,Champions,1
21271,99,3,1708.0,4,4,2,Loyal,1
21272,591,1,79.0,2,1,1,Lost,0
21273,387,2,458.0,2,2,2,At Risk,0
21274,94,1,273.0,4,1,1,At Risk,0
21275,810,1,449.0,1,1,2,Lost,0
21277,155,2,40565.0,4,2,4,Loyal,1
21278,838,1,1199.0,1,1,2,Lost,0
21279,786,1,282.0,1,1,1,Lost,0
21281,101,2,7588.0,4,2,3,Loyal,1
21282,192,3,12286.0,3,4,4,Champions,1
21283,155,5,785.0,4,4,2,Loyal,1
21284,110,4,10287.0,4,4,4,Champions,1
21286,222,3,306.0,3,4,1,Potential Loyalist,1
21287,592,2,11986.0,2,2,4,Potential Loyalist,1
21288,338,2,2204.0,3,2,3,Potential Loyalist,1
21289,673,1,130.0,1,1,1,Lost,0
21290,85,1,208.0,4,1,1,At Risk,0
21291,697,1,171.0,1,1,1,Lost,0
21292,509,1,356.0,2,1,1,Lost,0
21295,711,1,3491.0,1,1,3,At Risk,0
21296,320,2,1157.0,3,2,2,Potential Loyalist,0
21298,481,1,111.0,2,1,1,Lost,0
21299,437,1,14116.0,2,1,4,Potential Loyalist,0
21300,547,2,167.0,2,2,1,At Risk,0
21301,323,2,3555.0,3,2,3,Potential Loyalist,1
21302,5,3,408.0,4,4,1,Loyal,1
21303,288,2,625.0,3,2,2,Potential Loyalist,0
21304,480,1,0.0,2,1,1,Lost,0
21305,737,1,60.0,1,1,1,Lost,0
21306,277,2,426.0,3,2,1,At Risk,0
21308,81,2,592.0,4,2,2,Potential Loyalist,1
21310,289,1,759.0,3,1,2,At Risk,0
21311,382,2,9815.0,2,2,4,Potential Loyalist,1
21313,479,2,14500.0,2,2,4,Potential Loyalist,1
21314,313,2,824.0,3,2,2,Potential Loyalist,0
21315,235,1,463.0,3,1,2,At Risk,0
21316,590,1,639.0,2,1,2,At Risk,0
21317,639,1,9227.0,1,1,4,At Risk,0
21318,647,1,130.0,1,1,1,Lost,0
21319,596,1,3569.0,2,1,3,At Risk,0
21320,463,1,222.0,2,1,1,Lost,0
21324,796,1,46.0,1,1,1,Lost,0
21325,107,4,7653.0,4,4,3,Champions,1
21326,974,1,935.0,1,1,2,Lost,0
21327,46,3,8472.0,4,4,3,Champions,1
21328,666,2,523.0,1,2,2,At Risk,0
21329,607,2,20352.0,2,2,4,Potential Loyalist,1
21330,9,5,15509.0,4,4,4,Champions,1
21331,289,4,8695.0,3,4,3,Loyal,1
21332,522,3,4783.0,2,4,3,Loyal,1
21333,365,2,28070.0,3,2,4,Loyal,1
21334,60,2,17237.0,4,2,4,Loyal,1
21335,579,1,46.0,2,1,1,Lost,0
21336,222,1,208.0,3,1,1,At Risk,0
21337,424,1,130.0,2,1,1,Lost,0
